YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
Year-2000,29.75,24.82,32.22,31.25,28.53
Year-2001,29.99,25.88,32.61,31.61,28.13
Year-2002,30.23,25.37,33.06,32.02,28.36
Year-2003,29.75,25.32,32.05,31.72,27.7
Year-2004,29.79,25.49,32.69,31.42,27.65
Year-2005,29.6,24.96,31.81,31.84,27.5
Year-2006,30.06,27.44,32.08,31.39,27.78
Year-2007,29.84,25.73,32.32,31.4,28.03
Year-2008,29.64,24.72,32.11,31.25,28.29
Year-2009,30.29,26.5,32.57,32.24,27.96
Year-2010,30.12,25.95,33.46,31.43,27.78
Year-2011,29.82,25.33,32.07,31.55,28.23
